Name der Abstimmung;Voraussage SRG;Voraussage Tamedia;Vorhersage wahr oder falsch
Beteiligung an der europäischen Grenz- und Küstenwache Frontex;1;1;WAHR
Widerspruchsregelung bei der Organspende;1;1;WAHR
Änderung des Filmgesetzes;1;1;WAHR
Medienpaket;0;0;WAHR
Gesetz über die Stempelabgaben;0;0;WAHR
Initiative «Kinder und Jugendliche ohne Tabakwerbung»;1;1;WAHR
Initiative für ein Verbot von Tier- und Menschenversuchen;0;0;WAHR
Änderung des Covid-19-Gesetzes;1;1;WAHR
Justizinitiative;0;0;WAHR
Pflegeinitiative;1;1;WAHR
Ehe für alle;1;1;WAHR
«99%-Initiative»;1;1;WAHR
Gesetz über polizeiliche Massnahmen gegen Terrorismus;1;1;WAHR
CO2-Gesetz;1;1;FALSCH
Covid-19-Gesetz;1;1;WAHR
Pestizidinitiative;unentschieden;0;WAHR
Trinkwasserinitiative;0;0;WAHR
Freihandelsabkommen mit Indonesien;1;1;WAHR
Gesetz über elektronische Identifizierungsdienste;0;0;WAHR
Initiative für ein Verhüllungsverbot;1;1;WAHR
